"sciname","country","iso3c","wholefish","trimmings","trim_prop","data_source_feed","data_source_fao_area_country","feed_report_spp_name","capture","trash_fish","genus","subfamily","family","order","class","superclass","phylum","kingdom","isscaap_group","common_name"
"dendrophysa russelii","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Dendrophysa russelii","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"russell’s dendrophysa"
"collichthys lucidus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Collichthys lucidus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"spiny-headed meitong"
"miichthys miiuy","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Miichthys miiuy","yes","yes","miichthys",NA,"sciaenidae","eupercaria/misc","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous coastal fishes","mi-iuy (brown) croaker"
"upeneus subvittatus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Upeneus subvittatus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"band-striped goatfish"
"upeneus sulphureus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Upeneus sulphureus","yes","yes","upeneus",NA,"mullidae","mulliformes","actinopteri","osteichthyes","chordata","animalia",NA,"sulphur goatfish"
"upeneus japonicus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Upeneus japonicus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"japanese goatfish"
"terapon jarbua","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Terapon jarbua","yes","yes","terapon",NA,"terapontidae","centrarchiformes","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous coastal fishes","jarbua terapon"
"oplegnathus fascistus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Oplegnathus fascistus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"striped beakperch"
"ammodytes personatus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Ammodytes personatus","yes","yes","ammodytes",NA,"ammodytidae","perciformes/uranoscopoidei","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous coastal fishes","pacific sandlance"
"acanthogobius hasta","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Acanthogobius hasta","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"spear-tailed goby"
