"country","sciname","aquaculture","trim_prop","common_name","wholefish","trimmings","data_source_feed","data_source_fao_area_country","feed_report_spp_name","trash_fish","capture","source_country_iso3c"
"India","clarias","no",0,"catfishes nei","yes","no","Shea et al. 2025",NA,"catfish","no","yes","IND"
"India","engraulidae","no",0,"anchovies, etc. nei","yes","no","Shea et al. 2025",NA,"anchovy","no","yes","IND"
"India","eubleekeria splendens","no",0,"splendid pony fish slimy","yes","no","Shea et al. 2025",NA,"splendid pony fish slimy","no","yes","IND"
"India","katsuwonus pelamis","no",1,"skipjack tuna","no","yes","Shea et al. 2025",NA,"tuna","no","yes","IND"
"India","lutjanus argentimaculatus","no",0,"red snapper","yes","no","Shea et al. 2025",NA,"red snapper","no","yes","IND"
"India","mulloidichthys martinicus","no",0,"yellow goatfish","yes","no","Shea et al. 2025",NA,"yellow goatfish","no","yes","IND"
"India","nemipterus japonicus","no",1,"japanese thread fin fish","no","yes","Shea et al. 2025",NA,"japanese thread fin fish","no","yes","IND"
"India","pangasianodon hypophthalmus","no",0,"striped catfish","yes","no","Shea et al. 2025",NA,"catfish","no","yes","IND"
"India","pentaprion longimanus","no",0,"longfin mojarra","yes","no","Shea et al. 2025",NA,"longfin mojarra","no","yes","IND"
"India","perciformes","no",1,"tuna-like fishes nei","no","yes","Shea et al. 2025",NA,"tuna","no","yes","IND"
"India","priacanthus tayenus","no",0,"purple-spotted (bigeye)","yes","no","Shea et al. 2025",NA,"purple-spotted (bigeye)","no","yes","IND"
"India","pterocaesio chrysozona","no",0,"gold band fusilier","yes","no","Shea et al. 2025",NA,"gold band fusilier","no","yes","IND"
"India","rastrelliger kanagurta","no",0,"mackerel","yes","no","Shea et al. 2025",NA,"mackerel","no","yes","IND"
"India","sardinella fimbriate","no",0,"lesser sardine","yes","no","Shea et al. 2025",NA,"lesser sardine","no","yes","IND"
"India","sardinella longiceps","no",0.333333333333333,"indian oil sardine","yes","no","Shea et al. 2025",NA,"indian oil sardine","no","yes","IND"
"India","sardinella longiceps","no",0.333333333333333,"sardine","no","yes","Shea et al. 2025",NA,"sardine","no","yes","IND"
"India","sardinella longiceps","no",0.333333333333333,"sardine","yes","no","Shea et al. 2025",NA,"sardine","no","yes","IND"
"India","saurida undosquamis","no",0,"lizardfish","yes","no","Shea et al. 2025",NA,"lizardfish","no","yes","IND"
"India","scomber scombrus","no",0,"mackerel","yes","no","Shea et al. 2025",NA,"mackerel","no","yes","IND"
"India","secutor insidiator","no",0,"pugnose ponyfish","yes","no","Shea et al. 2025",NA,"pugnose ponyfish","no","yes","IND"
"India","stolephorus","no",0,"stolephorus anchovies nei","yes","no","Shea et al. 2025",NA,"anchovy","no","yes","IND"
"India","thunnus albacares","no",1,"yellowfin tuna","no","yes","Shea et al. 2025",NA,"tuna","no","yes","IND"
"India","thunnus obesus","no",1,"bigeye tuna","no","yes","Shea et al. 2025",NA,"tuna","no","yes","IND"
"India","thunnus tonggol","no",1,"longtail tuna","no","yes","Shea et al. 2025",NA,"tuna","no","yes","IND"
"Indonesia","amblygaster sirm","no",0.5,"spotted sardinella","no","yes","Shea et al. 2025",NA,"sardine","no","yes","IDN"
"Indonesia","amblygaster sirm","no",0.5,"spotted sardinella","yes","no","Shea et al. 2025",NA,"sardine","no","yes","IDN"
