"sciname","common_name","country","wholefish","trimmings","trim_prop","trimmings_tonnes","wholefish_tonnes","data_source_feed","data_source_fao_area_country","feed_report_spp_name","iso3c","importer_iso3c"
"Coryphaena hippurus","Common dolphinfish","Ecuador","no","yes",1,359.0578374,0,"cargill",NA,"Common dolphinfish","ECU","ECU"
"Coryphaena hippurus","Common dolphinfish","Ecuador","no","yes",1,359.0578374,0,"cargill",NA,"Common dolphinfish","ECU","GBR"
"Coryphaena hippurus","Common dolphinfish","Ecuador","no","yes",1,359.0578374,0,"cargill",NA,"Common dolphinfish","ECU","IND"
"Coryphaena hippurus","Common dolphinfish","Ecuador","no","yes",1,359.0578374,0,"cargill",NA,"Common dolphinfish","ECU","MEX"
"Coryphaena hippurus","Common dolphinfish","Ecuador","no","yes",1,359.0578374,0,"cargill",NA,"Common dolphinfish","ECU","NOR"
"Coryphaena hippurus","Common dolphinfish","Ecuador","no","yes",1,359.0578374,0,"cargill",NA,"Common dolphinfish","ECU","THA"
"Coryphaena hippurus","Common dolphinfish","Ecuador","no","yes",1,359.0578374,0,"cargill",NA,"Common dolphinfish","ECU","USA"
"Coryphaena hippurus","Common dolphinfish","Ecuador","no","yes",1,359.0578374,0,"cargill",NA,"Common dolphinfish","ECU","VNM"
"Coryphaena hippurus","Common dolphinfish","Peru","no","yes",1,359.0578374,0,"cargill",NA,"Common dolphinfish","PER","AUT"
"Coryphaena hippurus","Common dolphinfish","Peru","no","yes",1,359.0578374,0,"cargill",NA,"Common dolphinfish","PER","CAN"
"Coryphaena hippurus","Common dolphinfish","Peru","no","yes",1,359.0578374,0,"cargill",NA,"Common dolphinfish","PER","CHL"
"Coryphaena hippurus","Common dolphinfish","Peru","no","yes",1,359.0578374,0,"cargill",NA,"Common dolphinfish","PER","CHN"
"Coryphaena hippurus","Common dolphinfish","Peru","no","yes",1,359.0578374,0,"cargill",NA,"Common dolphinfish","PER","ECU"
"Coryphaena hippurus","Common dolphinfish","Peru","no","yes",1,359.0578374,0,"cargill",NA,"Common dolphinfish","PER","GBR"
"Coryphaena hippurus","Common dolphinfish","Peru","no","yes",1,359.0578374,0,"cargill",NA,"Common dolphinfish","PER","IND"
"Coryphaena hippurus","Common dolphinfish","Peru","no","yes",1,359.0578374,0,"cargill",NA,"Common dolphinfish","PER","MEX"
"Coryphaena hippurus","Common dolphinfish","Peru","no","yes",1,359.0578374,0,"cargill",NA,"Common dolphinfish","PER","NOR"
"Coryphaena hippurus","Common dolphinfish","Peru","no","yes",1,359.0578374,0,"cargill",NA,"Common dolphinfish","PER","THA"
"Coryphaena hippurus","Common dolphinfish","Peru","no","yes",1,359.0578374,0,"cargill",NA,"Common dolphinfish","PER","USA"
