"country","sciname","aquaculture","trim_prop","factory_id","common_name","wholefish","trimmings","data_source_feed","data_source_fao_area_country","feed_report_spp_name","trash_fish","capture","source_country_iso3c"
"Chile","strangomera bentincki","no",0.0434782608695652,48,"araucanian herring","yes","no","Shea et al. 2025",NA,"araucanian herring","no","yes","CHL"
"Chile","strangomera bentincki","no",0.0434782608695652,54,"araucanian herring","no","yes","Shea et al. 2025",NA,"araucanian herring","no","yes","CHL"
"Chile","strangomera bentincki","no",0.0434782608695652,54,"araucanian herring","yes","no","Shea et al. 2025",NA,"araucanian herring","no","yes","CHL"
"Chile","strangomera bentincki","no",0.0434782608695652,55,"chilean sardine","yes","no","Shea et al. 2025",NA,"chilean sardine","no","yes","CHL"
"Chile","strangomera bentincki","no",0.0434782608695652,56,"araucanian herring","yes","no","Shea et al. 2025",NA,"araucanian herring","no","yes","CHL"
"Chile","trachurus murphyi","no",0.275862068965517,25,"chilean jack mackerel","yes","no","Shea et al. 2025",NA,"chilean jack mackerel","no","yes","CHL"
"Chile","trachurus murphyi","no",0.275862068965517,26,"jack mackerel","yes","no","Shea et al. 2025",NA,"jack mackerel","no","yes","CHL"
"Chile","trachurus murphyi","no",0.275862068965517,27,"jack mackerel","yes","no","Shea et al. 2025",NA,"jack mackerel","no","yes","CHL"
"Chile","trachurus murphyi","no",0.275862068965517,28,"jack mackerel","yes","no","Shea et al. 2025",NA,"jack mackerel","no","yes","CHL"
"Chile","trachurus murphyi","no",0.275862068965517,29,"jack mackerel","yes","no","Shea et al. 2025",NA,"jack mackerel","no","yes","CHL"
"Chile","trachurus murphyi","no",0.275862068965517,32,"chilean jack mackerel","yes","no","Shea et al. 2025",NA,"chilean jack mackerel","no","yes","CHL"
"Chile","trachurus murphyi","no",0.275862068965517,33,"chilean jack mackerel","yes","no","Shea et al. 2025",NA,"chilean jack mackerel","no","yes","CHL"
"Chile","trachurus murphyi","no",0.275862068965517,34,"chilean jack mackerel","yes","no","Shea et al. 2025",NA,"chilean jack mackerel","no","yes","CHL"
"Chile","trachurus murphyi","no",0.275862068965517,37,"jack mackerel","yes","no","Shea et al. 2025",NA,"jack mackerel","no","yes","CHL"
"Chile","trachurus murphyi","no",0.275862068965517,38,"jack mackerel","yes","no","Shea et al. 2025",NA,"jack mackerel","no","yes","CHL"
"Chile","trachurus murphyi","no",0.275862068965517,39,"jack mackerel","yes","no","Shea et al. 2025",NA,"jack mackerel","no","yes","CHL"
