factory_id,country,lat,long,company,data_type,material_type,material_type_simple,comm_name,sci_name,func_group,source,website,date
248,Morocco,32.287,-9.2466,Sogenco,A,fishery by-products,by-products,Sardine,Sardina pilchardus,Small pelagics (<30 cm),https://www.seafoodfrommorocco.com/find-an-exporter/,NA,Apr-24
249,Morocco,27.0958,-13.4255,Copelit,A,fishery by-products,by-products,Atlantic chub mackerel,Scomber colias,Medium pelagics (30 - 89 cm),MarinTrust,http://www.copelit.net/,Mar-24
249,Morocco,27.0958,-13.4255,Copelit,A,fishery by-products,by-products,Horse mackerel,Trachurus trachurus,Medium pelagics (30 - 89 cm),MarinTrust,http://www.copelit.net/,Mar-24
249,Morocco,27.0958,-13.4255,Copelit,A,fishery by-products,by-products,Round sardinella,Sardinella aurita,Small pelagics (<30 cm),MarinTrust,http://www.copelit.net/,Mar-24
249,Morocco,27.0958,-13.4255,Copelit,A,fishery by-products,by-products,European pilchard,Sardina pilchardus,Small pelagics (<30 cm),MarinTrust,http://www.copelit.net/,Mar-24
250,Morocco,27.0958,-13.4255,Sarma SARL,C,whole,whole,Mackerel,Scomber japonicus,Medium pelagics (30 - 89 cm),MarinTrust,http://www.sarmafish.com/pages/index270d.html?lang=EN&cat=fishmeal&alias=fishmeal,Mar-24
250,Morocco,27.0958,-13.4255,Sarma SARL,C,whole,whole,Sardine,Sardina pilchardus,Small pelagics (<30 cm),MarinTrust,http://www.sarmafish.com/pages/index270d.html?lang=EN&cat=fishmeal&alias=fishmeal,Mar-24
250,Morocco,27.0958,-13.4255,Sarma SARL,C,whole,whole,Round sardinella,Sardinella aurita,Small pelagics (<30 cm),MarinTrust,http://www.sarmafish.com/pages/index270d.html?lang=EN&cat=fishmeal&alias=fishmeal,Mar-24
251,Morocco,30.3235,-9.4894,Olvea Atlantic,A,whole,whole,Sardine,Sardina pilchardus,Small pelagics (<30 cm),MarinTrust,https://www.olvea-omega-solutions.fr/nos-unites-de-raffinage/#olveaatlantic,Mar-24
252,Morocco,27.9283,-12.9332,Alpha Atlantic De Sahara Marocaine SA,A,fishery by-products,by-products,Horse Mackerel,Trachurus trachurus,Medium pelagics (30 - 89 cm),MarinTrust,https://alphaasm.com/fr/,Mar-24
252,Morocco,27.9283,-12.9332,Alpha Atlantic De Sahara Marocaine SA,A,fishery by-products,by-products,Atlantic chub mackerel,Scomber colias,Medium pelagics (30 - 89 cm),MarinTrust,https://alphaasm.com/fr/,Mar-24
252,Morocco,27.9283,-12.9332,Alpha Atlantic De Sahara Marocaine SA,A,fishery by-products,by-products,Round sardinella,Sardinella aurita,Small pelagics (<30 cm),MarinTrust,https://alphaasm.com/fr/,Mar-24
252,Morocco,27.9283,-12.9332,Alpha Atlantic De Sahara Marocaine SA,A,fishery by-products,by-products,European pilchard,Sardina pilchardus,Small pelagics (<30 cm),MarinTrust,https://alphaasm.com/fr/,Mar-24
253,Morocco,27.1458,-13.1995,KB Fish,B,fishery by-products,by-products,Chub mackerel,Scomber colias,Medium pelagics (30 - 89 cm),MarinTrust,NA,Mar-24
253,Morocco,27.1458,-13.1995,KB Fish,B,fishery by-products,by-products,Sardine,Sardina pilchardus,Small pelagics (<30 cm),MarinTrust,NA,Mar-24
254,Morocco,27.1476,-13.2022,Laayoune Proteine,C,fishery by-products,by-products,Atlantic chub mackerel,Scomber colias,Medium pelagics (30 - 89 cm),MarinTrust,NA,Mar-24
254,Morocco,27.1476,-13.2022,Laayoune Proteine,C,fishery by-products,by-products,Round sardinella,Sardinella aurita,Small pelagics (<30 cm),MarinTrust,NA,Mar-24
254,Morocco,27.1476,-13.2022,Laayoune Proteine,C,fishery by-products,by-products,European pilchard,Sardina pilchardus,Small pelagics (<30 cm),MarinTrust,NA,Mar-24
255,Morocco,30.322,-9.49,Pescasud SARLAU,A,fishery by-products,by-products,Atlantic chub mackerel,Scomber colias,Medium pelagics (30 - 89 cm),MarinTrust,NA,Mar-24
255,Morocco,30.322,-9.49,Pescasud SARLAU,A,fishery by-products,by-products,European pilchard,Sardina pilchardus,Small pelagics (<30 cm),MarinTrust,NA,Mar-24
256,Morocco,28.4824,-11.3477,Tantasar,A,fishery by-products,by-products,Chub mackerel,Scomber colias,Medium pelagics (30 - 89 cm),MarinTrust,NA,Mar-24
256,Morocco,28.4824,-11.3477,Tantasar,A,fishery by-products,by-products,Sardine,Sardina pilchardus,Small pelagics (<30 cm),MarinTrust,NA,Mar-24
257,Myanmar,16.827,96.1553,Scoular,A,NA,NA,NA,NA,NA,https://www.polarismarketresearch.com/industry-analysis/fishmeal-and-fish-oil-market,https://www.scoular.com/our-brands/encompass/,Apr-24
258,Myanmar,16.8479,96.0987,Min Zar Ni Co. Ltd.,A,NA,NA,NA,NA,NA,NA,https://www.mzngroup-fisheries.com/project/fish-meal/,Apr-24
259,Myanmar,20.136,92.8874,Min Zar Ni Co. Ltd.,C,NA,NA,NA,NA,NA,NA,https://www.mzngroup-fisheries.com/project/fish-meal/,Apr-24
260,Myanmar,12.4478,98.6096,Min Zar Ni Co. Ltd.,C,NA,NA,NA,NA,NA,NA,https://www.mzngroup-fisheries.com/project/fish-meal/,Apr-24
261,Namibia,-22.9364,14.5128,Princess Brand Processing,A,whole,whole,Horse mackerel,Trachurus trachurus,Medium pelagics (30 - 89 cm),Ministry of Environment and Tourism report,c,Apr-24
262,New Zealand,-37.6613,176.2,Bakels Edible Oils (NZ) Limited,A,NA,NA,NA,NA,NA,NZ Ministry for Primary Industries,https://www.beobakels.co.nz/,Apr-24
263,New Zealand,-41.2992,173.2384,Seadragon Marine Oils Limited,A,fishery by-products,by-products,Hoki,Macruronus novaezelandiae,Large demersals (>=90 cm),NZ Ministry for Primary Industries,https://www.seadragon.co.nz/,Apr-24
263,New Zealand,-41.2992,173.2384,Seadragon Marine Oils Limited,A,fishery by-products,by-products,Tuna,NA,NA,NZ Ministry for Primary Industries,https://www.seadragon.co.nz/,Apr-24
264,New Zealand,-44.3853,171.2582,Sanford Limited,A,fishery by-products,by-products,NA,NA,NA,NZ Ministry for Primary Industries,https://www.sanford.co.nz/,Apr-24
265,New Zealand,-46.5955,168.3292,Bluff Proteins Limited,A,NA,NA,NA,NA,NA,NZ Ministry for Primary Industries,NA,Apr-24
266,New Zealand,-39.5425,176.9186,Hawkes Bay Protein Limited,A,NA,NA,NA,NA,NA,NZ Ministry for Primary Industries,NA,Apr-24
267,New Zealand,-40.1291,175.4458,Kakariki Proteins Limited,A,misc by-products,by-products,NA,NA,NA,NZ Ministry for Primary Industries,http://www.kakarikiproteins.co.nz/index.php?page=Home,Apr-24
268,New Zealand,-36.9339,174.8344,PVL Proteins Limited,A,NA,NA,NA,NA,NA,NZ Ministry for Primary Industries,https://pvl.com/,Apr-24
269,New Zealand,-41.2569,173.2796,Sealord Group Limited,A,fishery by-products,by-products,NA,NA,NA,NZ Ministry for Primary Industries,https://www.sealord.com/,Apr-24
270,New Zealand,-41.2558,173.2838,Talley's Group Limited,A,fishery by-products,by-products,NA,NA,NA,NZ Ministry for Primary Industries,https://www.talleys.co.nz/,Apr-24
271,New Zealand,-41.2931,173.2446,The New Zealand King Salmon Co. Limited,A,aquaculture by-products,by-products,King Salmon,Oncorhynchus tshawytscha,Large benthopelagics (>=90 cm),NZ Ministry for Primary Industries,https://www.kingsalmon.co.nz/,Apr-24
272,Norway,62.4361,6.2435,TripleNine,A,fishery by-products,by-products,Cod,Gadus morhua,Large benthopelagics (>=90 cm),IFFO,https://www.999.dk/en/,Feb-24
272,Norway,62.4361,6.2435,TripleNine,A,fishery by-products,by-products,Saithe,Pollachius virens,Large demersals (>=90 cm),IFFO,https://www.999.dk/en/,Feb-24
272,Norway,62.4361,6.2435,TripleNine,A,fishery by-products,by-products,Deepwater Redfish,Sebastes mentella,Medium bathypelagics (30 - 89 cm),IFFO,https://www.999.dk/en/,Feb-24
