"factory_id","country","common_name","sciname","aquaculture","wholefish","trimmings","data_source_feed","data_source_fao_area_country","feed_report_spp_name","trash_fish","capture","source_country_iso3c"
116,"Gambia","flat sardinella","sardinella maderensis","no","yes","no","Shea et al. 2025",NA,"flat sardinella","no","yes","GMB"
116,"Gambia","bonga shad","ethmalosa fimbriata","no","yes","no","Shea et al. 2025",NA,"bonga shad","no","yes","GMB"
116,"Gambia","round sardinella","sardinella aurita","no","yes","no","Shea et al. 2025",NA,"round sardinella","no","yes","GMB"
117,"Georgia","european anchovy","engraulis encrasicolus","no","yes","no","Shea et al. 2025",NA,"european anchovy","no","yes","GEO"
118,"Germany","black sea anchovy","engraulis encrasicolus","no","yes","no","Shea et al. 2025",NA,"black sea anchovy","no","yes","DEU"
119,"Germany",NA,NA,"no","no","yes","Shea et al. 2025",NA,NA,"no","yes","DEU"
121,"Iceland","atlantic herring","clupea harengus","no","no","yes","Shea et al. 2025",NA,"atlantic herring","no","yes","ISL"
121,"Iceland","mackerel","scomber scombrus","no","no","yes","Shea et al. 2025",NA,"mackerel","no","yes","ISL"
122,"Iceland","atlantic herring","clupea harengus","no","no","yes","Shea et al. 2025",NA,"atlantic herring","no","yes","ISL"
122,"Iceland","mackerel","scomber scombrus","no","no","yes","Shea et al. 2025",NA,"mackerel","no","yes","ISL"
123,"Iceland","atlantic herring","clupea harengus","no","no","yes","Shea et al. 2025",NA,"atlantic herring","no","yes","ISL"
123,"Iceland","mackerel","scomber scombrus","no","no","yes","Shea et al. 2025",NA,"mackerel","no","yes","ISL"
124,"Iceland","atlantic herring","clupea harengus","no","no","yes","Shea et al. 2025",NA,"atlantic herring","no","yes","ISL"
124,"Iceland","mackerel","scomber scombrus","no","no","yes","Shea et al. 2025",NA,"mackerel","no","yes","ISL"
125,"Iceland","atlantic herring","clupea harengus","no","no","yes","Shea et al. 2025",NA,"atlantic herring","no","yes","ISL"
125,"Iceland","mackerel","scomber scombrus","no","no","yes","Shea et al. 2025",NA,"mackerel","no","yes","ISL"
126,"Iceland","blue whiting","micromesistius poutassou","no","yes","no","Shea et al. 2025",NA,"blue whiting","no","yes","ISL"
126,"Iceland","atlantic herring","clupea harengus","no","no","yes","Shea et al. 2025",NA,"atlantic herring","no","yes","ISL"
126,"Iceland","mackerel","scomber scombrus","no","no","yes","Shea et al. 2025",NA,"mackerel","no","yes","ISL"
127,"Iceland","atlantic herring","clupea harengus","no","no","yes","Shea et al. 2025",NA,"atlantic herring","no","yes","ISL"
127,"Iceland","mackerel","scomber scombrus","no","no","yes","Shea et al. 2025",NA,"mackerel","no","yes","ISL"
128,"Iceland","atlantic herring","clupea harengus","no","no","yes","Shea et al. 2025",NA,"atlantic herring","no","yes","ISL"
128,"Iceland","mackerel","scomber scombrus","no","no","yes","Shea et al. 2025",NA,"mackerel","no","yes","ISL"
129,"Iceland","atlantic herring","clupea harengus","no","no","yes","Shea et al. 2025",NA,"atlantic herring","no","yes","ISL"
129,"Iceland","mackerel","scomber scombrus","no","no","yes","Shea et al. 2025",NA,"mackerel","no","yes","ISL"
